classifier	assembler	sample	TP_genomes	FP_genomes	FN_genomes	precision_genome	recall_genome	f1_score_genome	total_reference_genomes	predicted_genomes_with_plasmids	total_contigs	predicted_plasmid_contigs	unmapped_predicted_plasmids	total_correctly_predicted_contigs	total_missed_contigs
genomad	mpSPAdes	4	36	6	27	0.8571428571428571	0.5714285714285714	0.6857142857142857	63	36	130	54	6	36	27
genomad	mpSPAdes	5	35	1	23	0.9722222222222222	0.603448275862069	0.7446808510638298	58	35	124	44	1	35	23
genomad	mpSPAdes	6	39	6	24	0.8666666666666667	0.6190476190476191	0.7222222222222222	63	39	135	52	6	39	24
genomad	mpSPAdes	7	42	6	24	0.875	0.6363636363636364	0.7368421052631579	66	42	134	58	6	42	24
genomad	mpSPAdes	8	47	8	34	0.8545454545454545	0.5802469135802469	0.6911764705882354	81	47	157	65	8	47	34
genomad	mpSPAdes	9	37	3	23	0.925	0.6166666666666667	0.74	60	37	131	51	3	37	23
mobrecon	megahit	0	5	899	103	0.0055309734513274336	0.046296296296296294	0.009881422924901184	108	5	401783	905	899	5	145
mobrecon	megahit	1	3	1000	91	0.0029910269192422734	0.031914893617021274	0.0054694621695533276	94	3	508942	1004	1000	3	103
mobrecon	megahit	2	4	1221	90	0.0032653061224489797	0.0425531914893617	0.006065200909780137	94	4	524111	1226	1221	5	131
mobrecon	megahit	3	4	867	98	0.004592422502870264	0.0392156862745098	0.008221993833504625	102	4	524058	872	867	4	170
mobrecon	megahit	4	4	500	83	0.007936507936507936	0.04597701149425287	0.01353637901861252	87	4	360048	506	500	6	129
mobrecon	megahit	5	3	546	85	0.00546448087431694	0.03409090909090909	0.009419152276295133	88	3	401064	550	546	3	156
mobrecon	megahit	6	3	1063	84	0.0028142589118198874	0.034482758620689655	0.005203816131830008	87	3	457606	1067	1063	3	122
mobrecon	megahit	7	3	864	85	0.0034602076124567475	0.03409090909090909	0.006282722513089006	88	3	428985	868	864	3	105
mobrecon	megahit	8	4	959	91	0.004153686396677051	0.042105263157894736	0.007561436672967864	95	4	540913	963	959	4	124
mobrecon	megahit	9	2	773	80	0.0025806451612903226	0.024390243902439025	0.004667444574095683	82	2	417836	776	773	2	106
mobrecon	mpSPAdes	0	2	0	97	1.0	0.020202020202020204	0.03960396039603961	99	2	198	3	0	2	97
mobrecon	mpSPAdes	1	2	3	79	0.4	0.024691358024691357	0.046511627906976744	81	2	154	6	3	2	79
mobrecon	mpSPAdes	2	2	2	81	0.5	0.024096385542168676	0.04597701149425288	83	2	163	5	2	2	81
mobrecon	mpSPAdes	3	3	4	82	0.42857142857142855	0.03529411764705882	0.06521739130434782	85	3	158	8	4	3	82
mobrecon	mpSPAdes	4	2	3	61	0.4	0.031746031746031744	0.058823529411764705	63	2	130	6	3	2	61
mobrecon	mpSPAdes	5	2	0	56	1.0	0.034482758620689655	0.06666666666666667	58	2	124	2	0	2	56
mobrecon	mpSPAdes	6	2	2	61	0.5	0.031746031746031744	0.05970149253731343	63	2	135	5	2	2	61
mobrecon	mpSPAdes	7	3	3	63	0.5	0.045454545454545456	0.08333333333333334	66	3	134	7	3	3	63
