sample	classifier	assembler	tp	tn	fp	fn	accuracy	precision	recall	specificity	false_positive_rate	f1_score
Sample 6	plasme	megahit	16	240631	5803	75	0.9761565764121286	0.002749613335624678	0.17582417582417584	0.9764521129389614	0.023547887061038657	0.005414551607445009
Sample 6	platon	mpspades	63	1	69	0	0.48120300751879697	0.4772727272727273	1	0.014285714285714285	0.9857142857142858	0.6461538461538462
Sample 6	platon	megahit	69	245969	465	22	0.9980245411215901	0.12921348314606743	0.7582417582417582	0.9981130850450831	0.0018869149549169352	0.22080000000000002
Sample 6	dmc	mpspades	51	28	42	12	0.5939849624060151	0.5483870967741935	0.8095238095238095	0.4	0.6	0.6538461538461537
Sample 6	dmc	megahit	72	218154	28280	19	0.8852083967143292	0.0025395033860045146	0.7912087912087912	0.8852431076880625	0.11475689231193748	0.005062757093133636
Sample 6	plasx09	mpspades	32	58	12	31	0.6766917293233082	0.7272727272727273	0.5079365079365079	0.8285714285714286	0.17142857142857143	0.5981308411214953
Sample 6	plasx075	mpspades	43	51	19	20	0.706766917293233	0.6935483870967742	0.6825396825396826	0.7285714285714285	0.2714285714285714	0.6880000000000001
Sample 6	plasx05	mpspades	54	45	25	9	0.7443609022556391	0.6835443037974683	0.8571428571428571	0.6428571428571429	0.35714285714285715	0.7605633802816901
Sample 6	plasx09	megahit	47	246343	91	44	0.9994523881959233	0.34057971014492755	0.5164835164835165	0.9996307327722636	3.6926722773643247e-4	0.4104803493449782
Sample 6	plasx075	megahit	62	246241	193	29	0.999099482811074	0.24313725490196078	0.6813186813186813	0.9992168288466688	7.83171153331115e-4	0.3583815028901734
Sample 6	plasx05	megahit	69	245880	554	22	0.9976635229692729	0.11075441412520064	0.7582417582417582	0.9977519335805936	0.002248066419406413	0.19327731092436973
Sample 7	viralverify	mpspades	14	66	2	52	0.5970149253731343	0.875	0.21212121212121213	0.9705882352941176	0.029411764705882353	0.3414634146341463
Sample 7	viralverify	megahit	16	230903	114	78	0.9991692303698223	0.12307692307692308	0.1702127659574468	0.9995065298224806	4.934701775194033e-4	0.14285714285714285
Sample 7	genomad	mpspades	42	52	16	24	0.7014925373134329	0.7241379310344828	0.6363636363636364	0.7647058823529411	0.23529411764705882	0.6774193548387097
Sample 7	genomad	megahit	54	230441	576	40	0.9973346141031798	0.08571428571428572	0.574468085106383	0.9975066769977967	0.002493323002203301	0.14917127071823202
Sample 7	mobrecon	mpspades	3	64	4	63	0.5	0.42857142857142855	0.045454545454545456	0.9411764705882353	0.058823529411764705	0.0821917808219178
Sample 7	mobrecon	megahit	3	230517	500	91	0.9974427872321092	0.005964214711729622	0.031914893617021274	0.997835657116143	0.0021643428838570324	0.010050251256281407
Sample 7	plasclass	mpspades	22	50	18	44	0.5373134328358209	0.55	0.3333333333333333	0.7352941176470589	0.2647058823529412	0.4150943396226416
Sample 7	plasclass	megahit	29	204463	26554	65	0.8848215792411439	0.0010909227701914757	0.30851063829787234	0.8850560781241207	0.11494392187587926	0.0021741575139633392
Sample 7	plasmidfinder	mpspades	0	65	3	66	0.48507462686567165	0	0	0.9558823529411765	0.04411764705882353	NA
Sample 7	plasmidfinder	megahit	0	231014	3	94	0.999580288259754	0	0	0.9999870139426968	1.2986057303142194e-5	NA
Sample 7	plasme	mpspades	12	55	13	54	0.5	0.48	0.18181818181818182	0.8088235294117647	0.19117647058823528	0.2637362637362637
Sample 7	plasme	megahit	18	225685	5332	76	0.9765999887499945	0.0033644859813084112	0.19148936170212766	0.9769194474865486	0.02308055251345139	0.006612784717119765
Sample 7	platon	mpspades	66	0	68	0	0.4925373134328358	0.4925373134328358	1	0	1	0.66
Sample 7	platon	megahit	79	230695	322	15	0.9985418262220318	0.1970074812967581	0.8404255319148937	0.998606163182796	0.0013938368172039287	0.3191919191919192
Sample 7	dmc	mpspades	57	24	44	9	0.6044776119402985	0.5643564356435643	0.8636363636363636	0.35294117647058826	0.6470588235294118	0.6826347305389221
Sample 7	dmc	megahit	76	202935	28082	18	0.8784134030833669	0.002699055330634278	0.8085106382978723	0.8784418462710536	0.12155815372894635	0.005380150077870593
Sample 7	plasx09	mpspades	37	59	9	29	0.7164179104477612	0.8043478260869565	0.5606060606060606	0.8676470588235294	0.1323529411764706	0.6607142857142857
Sample 7	plasx075	mpspades	45	53	15	21	0.7313432835820896	0.75	0.6818181818181818	0.7794117647058824	0.22058823529411764	0.7142857142857143
